src_ip,dst_ip,protocol,src_port,dst_port,packet_count,flow_duration,timestamp,packet_length_mean,packet_length_std,packet_length_min,packet_length_max,payload_length_mean,payload_length_total,ttl_mean,tcp_flags_sum,tcp_window_size_mean,tcp_window_size_std
10.0.0.2,10.128.0.2,6,37361,80,17,1.0893640518188477,2018-08-02 11:30:52.877841,485.2352941176471,723.8372037812472,66,2051,418.29411764705884,7111,59.470588235294116,294,3606.6470588235293,9156.066410349298
10.0.0.2,10.128.0.2,6,37362,80,15,1.0893101692199707,2018-08-02 11:30:52.878141,548.2,967.3695054114535,66,3459,481.1333333333333,7217,60.0,262,4055.6,9659.09452485066
10.0.0.2,10.128.0.2,6,37363,80,15,1.0877399444580078,2018-08-02 11:30:52.881154,543.6666666666666,968.5813451756244,66,3458,476.6,7149,59.6,262,4051.5333333333333,9660.688877208613
10.0.0.2,10.128.0.2,6,37364,80,15,1.0886399745941162,2018-08-02 11:30:52.881345,548.8666666666667,1044.6324946548852,66,3458,481.8,7227,59.6,262,4057.3333333333335,9658.43369404285
10.0.0.2,10.128.0.2,6,37365,80,13,1.0880889892578125,2018-08-02 11:30:52.883643,618.6923076923077,1212.7868342480654,66,3459,551.4615384615385,7169,59.76923076923077,230,4638.0,10252.20106198589
10.0.0.2,10.128.0.2,6,37366,80,15,1.088702917098999,2018-08-02 11:30:52.884294,541.6666666666666,1046.6031827881197,66,3458,474.6,7119,59.6,262,4057.3333333333335,9658.43369404285
10.0.0.2,10.128.0.2,6,37367,80,13,1.088804006576538,2018-08-02 11:30:52.884498,617.1538461538462,1213.2433230587944,66,3459,549.9230769230769,7149,60.15384615384615,230,4638.0,10252.20106198589
10.0.0.2,10.128.0.2,6,37368,80,17,1.088202953338623,2018-08-02 11:30:52.884798,492.6470588235294,721.4861248656847,66,2051,425.70588235294116,7237,59.470588235294116,294,3606.6470588235293,9156.066410349298
10.0.0.2,10.128.0.2,6,37369,80,17,1.086777925491333,2018-08-02 11:30:52.887541,485.2352941176471,813.383675432577,66,2882,418.29411764705884,7111,59.470588235294116,294,3612.529411764706,9153.939390600204
10.0.0.2,10.128.0.2,6,37370,80,14,1.6818978786468506,2018-08-02 11:30:52.889821,584.9285714285714,1175.8241161163585,66,3459,517.7857142857143,7249,59.714285714285715,246,4324.071428571428,9943.89782346286
10.0.0.2,10.128.0.2,6,37371,80,12,0.06405997276306152,2018-08-02 11:30:54.949248,367.25,637.4581195393677,66,2051,299.9166666666667,3599,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37372,80,14,0.06368899345397949,2018-08-02 11:30:54.949331,320.42857142857144,493.8998907074351,66,1474,253.28571428571428,3546,59.285714285714285,230,4310.928571428572,9949.220877351478
10.0.0.2,10.128.0.2,6,37373,80,12,0.06321310997009277,2018-08-02 11:30:54.950827,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37374,80,12,0.0631561279296875,2018-08-02 11:30:54.951949,368.5,637.2848002790171,66,2051,301.1666666666667,3614,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37375,80,12,0.06274795532226562,2018-08-02 11:30:54.953651,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37376,80,12,0.06351494789123535,2018-08-02 11:30:54.954803,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37377,80,10,0.06368708610534668,2018-08-02 11:30:54.954815,429.5,1012.0439960792219,66,3459,361.9,3619,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37378,80,10,0.06349515914916992,2018-08-02 11:30:54.956080,424.6,1012.8161926035742,66,3459,357.0,3570,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37379,80,10,0.06437015533447266,2018-08-02 11:30:54.956142,424.2,1012.888621715142,66,3459,356.6,3566,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37380,80,12,0.06376910209655762,2018-08-02 11:30:55.553694,371.0833333333333,637.0119646094221,66,2051,303.75,3645,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37381,80,10,0.06374406814575195,2018-08-02 11:30:55.995297,424.2,1012.888621715142,66,3459,356.6,3566,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37382,80,12,0.06612706184387207,2018-08-02 11:30:55.995363,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37383,80,10,0.0636131763458252,2018-08-02 11:30:55.996574,429.0,1012.1130371653159,66,3459,361.4,3614,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37384,80,12,0.06343817710876465,2018-08-02 11:30:55.996621,368.9166666666667,637.2330105402749,66,2051,301.5833333333333,3619,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37385,80,12,0.06378984451293945,2018-08-02 11:30:55.998331,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37386,80,12,0.06347918510437012,2018-08-02 11:30:56.000285,370.5833333333333,637.05578750129,66,2051,303.25,3639,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37387,80,12,0.06317400932312012,2018-08-02 11:30:56.001424,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37388,80,10,0.06389808654785156,2018-08-02 11:30:56.002240,422.2,1013.272006916208,66,3459,354.6,3546,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37389,80,12,0.06471610069274902,2018-08-02 11:30:56.002564,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37393,80,10,0.06370091438293457,2018-08-02 11:30:56.599666,432.1,1011.7207569285116,66,3459,364.5,3645,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37397,80,12,0.06320405006408691,2018-08-02 11:30:57.041264,362.8333333333333,638.2858337418712,66,2051,295.5,3546,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37398,80,12,0.06456995010375977,2018-08-02 11:30:57.042016,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37399,80,12,0.06365013122558594,2018-08-02 11:30:57.042472,368.9166666666667,637.2330105402749,66,2051,301.5833333333333,3619,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37400,80,12,0.0644841194152832,2018-08-02 11:30:57.043319,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37401,80,10,0.06320595741271973,2018-08-02 11:30:57.043946,425.1,1012.7276484820587,66,3459,357.5,3575,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37402,80,10,0.06363987922668457,2018-08-02 11:30:57.045737,431.5,1011.7900226825723,66,3459,363.9,3639,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37403,80,12,0.06366586685180664,2018-08-02 11:30:57.046771,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37404,80,10,0.06295108795166016,2018-08-02 11:30:57.048123,422.2,1013.272006916208,66,3459,354.6,3546,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37405,80,12,0.0637969970703125,2018-08-02 11:30:57.048286,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37409,80,12,0.06391501426696777,2018-08-02 11:30:57.644469,371.0833333333333,637.0119646094221,66,2051,303.75,3645,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37410,80,12,0.065673828125,2018-08-02 11:30:58.086841,362.8333333333333,638.2858337418712,66,2051,295.5,3546,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37411,80,12,0.06516385078430176,2018-08-02 11:30:58.088345,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37412,80,12,0.06307697296142578,2018-08-02 11:30:58.088838,368.9166666666667,637.2330105402749,66,2051,301.5833333333333,3619,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37413,80,12,0.07073712348937988,2018-08-02 11:30:58.090338,368.5,637.2848002790171,66,2051,301.1666666666667,3614,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37414,80,12,0.06423091888427734,2018-08-02 11:30:58.091402,370.5833333333333,637.05578750129,66,2051,303.25,3639,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37415,80,12,0.06446194648742676,2018-08-02 11:30:58.091752,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37416,80,14,0.06630206108093262,2018-08-02 11:30:58.092649,323.92857142857144,493.3420233882538,66,1474,256.7857142857143,3595,59.714285714285715,230,4310.928571428572,9949.22087735148
10.0.0.2,10.128.0.2,6,37417,80,10,0.06309103965759277,2018-08-02 11:30:58.093833,422.2,1013.272006916208,66,3459,354.6,3546,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37418,80,12,0.06598806381225586,2018-08-02 11:30:58.094059,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37419,80,12,0.06341099739074707,2018-08-02 11:30:58.689764,369.4166666666667,775.2417320136705,66,2882,302.0833333333333,3625,59.416666666666664,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37420,80,12,0.06660008430480957,2018-08-02 11:30:59.134316,362.8333333333333,776.1551427102416,66,2882,295.5,3546,59.416666666666664,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37421,80,14,0.06636691093444824,2018-08-02 11:30:59.134568,325.64285714285717,493.1863755421556,66,1474,258.5,3619,59.285714285714285,230,4310.928571428572,9949.220877351478
10.0.0.2,10.128.0.2,6,37422,80,10,0.0630028247833252,2018-08-02 11:30:59.135585,427.1,1012.3956193109492,66,3459,359.5,3595,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37423,80,14,0.0724940299987793,2018-08-02 11:30:59.137345,327.07142857142856,493.11581721100123,66,1474,259.92857142857144,3639,59.714285714285715,230,4310.928571428572,9949.220877351478
10.0.0.2,10.128.0.2,6,37424,80,12,0.06475305557250977,2018-08-02 11:30:59.137883,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37425,80,10,0.0635068416595459,2018-08-02 11:30:59.139043,422.2,1013.272006916208,66,3459,354.6,3546,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37426,80,12,0.06330013275146484,2018-08-02 11:30:59.140204,365.25,775.7485766449505,66,2882,297.9166666666667,3575,59.416666666666664,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37427,80,10,0.06393098831176758,2018-08-02 11:30:59.141541,424.6,1012.8161926035742,66,3459,357.0,3570,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37428,80,12,0.06767892837524414,2018-08-02 11:30:59.142810,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37429,80,10,0.06322598457336426,2018-08-02 11:30:59.735194,432.1,1011.7207569285116,66,3459,364.5,3645,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37430,80,12,0.0634920597076416,2018-08-02 11:31:00.180579,368.9166666666667,637.2330105402749,66,2051,301.5833333333333,3619,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37431,80,12,0.06346607208251953,2018-08-02 11:31:00.180605,364.5,637.9341005673444,66,2051,297.1666666666667,3566,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37432,80,12,0.0632779598236084,2018-08-02 11:31:00.181811,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37433,80,10,0.06254792213439941,2018-08-02 11:31:00.183772,431.5,1011.7900226825723,66,3459,363.9,3639,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37434,80,12,0.0646810531616211,2018-08-02 11:31:00.183815,364.5,637.9341005673444,66,2051,297.1666666666667,3566,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37435,80,12,0.06349682807922363,2018-08-02 11:31:00.185022,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37436,80,12,0.06400394439697266,2018-08-02 11:31:00.185487,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37437,80,12,0.06418895721435547,2018-08-02 11:31:00.187140,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37438,80,12,0.06299114227294922,2018-08-02 11:31:00.187198,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37439,80,12,0.06362700462341309,2018-08-02 11:31:00.780464,369.4166666666667,637.1748135759569,66,2051,302.0833333333333,3625,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37440,80,12,0.06339812278747559,2018-08-02 11:31:01.226178,366.9166666666667,775.5163288989401,66,2882,299.5833333333333,3595,59.833333333333336,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37441,80,10,0.06432914733886719,2018-08-02 11:31:01.226287,424.2,1012.888621715142,66,3459,356.6,3566,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37442,80,12,0.06339502334594727,2018-08-02 11:31:01.227448,367.25,637.4581195393677,66,2051,299.9166666666667,3599,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37443,80,10,0.06402015686035156,2018-08-02 11:31:01.228355,431.5,1011.7900226825723,66,3459,363.9,3639,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37444,80,10,0.06327104568481445,2018-08-02 11:31:01.229918,424.2,1012.888621715142,66,3459,356.6,3566,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37445,80,12,0.06326794624328613,2018-08-02 11:31:01.230190,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37446,80,12,0.06353497505187988,2018-08-02 11:31:01.231380,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37447,80,12,0.06334090232849121,2018-08-02 11:31:01.232059,368.5,637.2848002790171,66,2051,301.1666666666667,3614,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37448,80,10,0.0629739761352539,2018-08-02 11:31:01.233160,422.6,1013.1924989852621,66,3459,355.0,3550,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37452,80,12,0.06383085250854492,2018-08-02 11:31:01.826096,369.4166666666667,637.1748135759569,66,2051,302.0833333333333,3625,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37455,80,12,0.06517386436462402,2018-08-02 11:31:02.271960,367.25,637.4581195393677,66,2051,299.9166666666667,3599,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37456,80,10,0.06495404243469238,2018-08-02 11:31:02.272009,427.1,1012.3956193109492,66,3459,359.5,3595,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37457,80,10,0.06453585624694824,2018-08-02 11:31:02.273173,422.2,1013.272006916208,66,3459,354.6,3546,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37458,80,10,0.06484603881835938,2018-08-02 11:31:02.274123,431.5,1011.7900226825723,66,3459,363.9,3639,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37459,80,12,0.06297683715820312,2018-08-02 11:31:02.275082,362.8333333333333,638.2858337418712,66,2051,295.5,3546,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37460,80,12,0.06348490715026855,2018-08-02 11:31:02.275402,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37461,80,12,0.0633080005645752,2018-08-02 11:31:02.276175,366.9166666666667,637.5088833803721,66,2051,299.5833333333333,3595,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37462,80,12,0.06519484519958496,2018-08-02 11:31:02.277439,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37463,80,12,0.06328797340393066,2018-08-02 11:31:02.278033,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37464,80,12,0.1275491714477539,2018-08-02 11:31:02.871760,369.4166666666667,637.1748135759569,66,2051,302.0833333333333,3625,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37465,80,14,0.0644829273223877,2018-08-02 11:31:03.318659,321.85714285714283,493.63330188986833,66,1474,254.71428571428572,3566,59.285714285714285,230,4310.928571428572,9949.220877351478
10.0.0.2,10.128.0.2,6,37466,80,10,0.06359505653381348,2018-08-02 11:31:03.319072,427.1,1012.3956193109492,66,3459,359.5,3595,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37467,80,12,0.06377792358398438,2018-08-02 11:31:03.319906,367.25,637.4581195393677,66,2051,299.9166666666667,3599,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37468,80,12,0.06306600570678711,2018-08-02 11:31:03.320607,368.9166666666667,637.2330105402749,66,2051,301.5833333333333,3619,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37469,80,12,0.06434297561645508,2018-08-02 11:31:03.321027,364.5,637.9341005673444,66,2051,297.1666666666667,3566,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37470,80,12,0.06353902816772461,2018-08-02 11:31:03.322039,365.25,637.7913876548246,66,2051,297.9166666666667,3575,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37471,80,10,0.06389403343200684,2018-08-02 11:31:03.322112,425.1,1012.7276484820587,66,3459,357.5,3575,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37472,80,10,0.06301403045654297,2018-08-02 11:31:03.323252,431.0,1011.8501865394896,66,3459,363.4,3634,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37473,80,10,0.0630331039428711,2018-08-02 11:31:03.323696,424.6,1012.8161926035742,66,3459,357.0,3570,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37474,80,12,0.06893515586853027,2018-08-02 11:31:03.980893,371.0833333333333,637.0119646094221,66,2051,303.75,3645,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37475,80,10,0.06414604187011719,2018-08-02 11:31:04.364261,427.1,1012.3956193109492,66,3459,359.5,3595,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37476,80,12,0.06488704681396484,2018-08-02 11:31:04.364578,364.5,637.9341005673444,66,2051,297.1666666666667,3566,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37477,80,12,0.06293582916259766,2018-08-02 11:31:04.365379,367.25,637.4581195393677,66,2051,299.9166666666667,3599,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37478,80,12,0.06306600570678711,2018-08-02 11:31:04.365664,370.5833333333333,637.05578750129,66,2051,303.25,3639,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37479,80,12,0.06302404403686523,2018-08-02 11:31:04.366680,362.8333333333333,638.2858337418712,66,2051,295.5,3546,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37480,80,10,0.06319093704223633,2018-08-02 11:31:04.367305,425.1,1012.7276484820587,66,3459,357.5,3575,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37481,80,10,0.0635530948638916,2018-08-02 11:31:04.367841,425.1,1012.7276484820587,66,3459,357.5,3575,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37482,80,12,0.0629279613494873,2018-08-02 11:31:04.368413,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37483,80,12,0.06344103813171387,2018-08-02 11:31:04.368893,364.8333333333333,637.8694789862752,66,2051,297.5,3570,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37484,80,10,0.06381106376647949,2018-08-02 11:31:05.029619,432.1,1011.7207569285116,66,3459,364.5,3645,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37486,80,10,0.06578803062438965,2018-08-02 11:31:05.410143,427.1,1012.3956193109492,66,3459,359.5,3595,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37485,80,12,0.06373119354248047,2018-08-02 11:31:05.410143,368.9166666666667,775.2895650801848,66,2882,301.5833333333333,3619,59.833333333333336,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37488,80,10,0.0690460205078125,2018-08-02 11:31:05.411406,429.5,1012.0439960792219,66,3459,361.9,3619,60.0,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37489,80,14,0.06370306015014648,2018-08-02 11:31:05.411602,321.85714285714283,493.63330188986833,66,1474,254.71428571428572,3566,59.285714285714285,230,4310.928571428572,9949.220877351478
10.0.0.2,10.128.0.2,6,37490,80,12,0.06481790542602539,2018-08-02 11:31:05.412574,362.8333333333333,776.1551427102416,66,2882,295.5,3546,59.833333333333336,198,4989.5,10595.35799694061
10.0.0.2,10.128.0.2,6,37491,80,10,0.0636599063873291,2018-08-02 11:31:05.412712,425.1,1012.7276484820587,66,3459,357.5,3575,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37492,80,12,0.06422901153564453,2018-08-02 11:31:05.413666,370.1666666666667,637.0956015823335,66,2051,302.8333333333333,3634,59.833333333333336,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37493,80,10,0.06422781944274902,2018-08-02 11:31:05.413793,425.1,1012.7276484820587,66,3459,357.5,3575,59.6,166,5933.4,11374.007044133567
10.0.0.2,10.128.0.2,6,37494,80,12,0.06384515762329102,2018-08-02 11:31:05.414774,363.1666666666667,638.2116724793499,66,2051,295.8333333333333,3550,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37495,80,12,0.06308102607727051,2018-08-02 11:31:06.075281,371.0833333333333,637.0119646094221,66,2051,303.75,3645,59.416666666666664,198,4984.416666666667,10597.619877896586
10.0.0.2,10.128.0.2,6,37497,80,10,0.0645899772644043,2018-08-02 11:31:06.455704,431.5,1011.7900226825723,66,3459,363.9,3639,60.0,166,5933.4,11374.007044133567
